aX,aY,aZ,gX,gY,gZ
0.703,0.495,0.500,-4.761,-1.648,-0.610
0.696,0.500,0.484,-4.272,-2.319,-1.892
0.707,0.490,0.490,-0.122,-2.991,-4.639
0.737,0.475,0.511,0.854,-4.822,-5.493
0.745,0.471,0.516,0.061,-9.521,-6.104
0.755,0.468,0.529,0.366,-11.658,-5.798
0.755,0.470,0.540,0.854,-13.672,-5.005
0.747,0.478,0.549,-0.793,-16.541,-3.662
0.727,0.493,0.550,-2.319,-17.151,-4.150
0.723,0.492,0.548,-2.747,-18.127,-6.470
0.726,0.481,0.556,-1.587,-18.066,-6.836
0.727,0.475,0.563,-0.366,-14.343,-4.150
0.719,0.472,0.567,-0.793,-10.315,-1.831
0.713,0.474,0.560,-1.770,-1.160,1.099
0.708,0.476,0.543,-1.709,1.709,1.648
0.705,0.475,0.537,-1.648,0.122,2.075
0.698,0.476,0.536,-1.892,-3.296,1.953
0.693,0.478,0.535,-2.686,-8.118,1.099
0.687,0.479,0.536,-2.625,-8.423,0.549
0.686,0.481,0.539,-2.075,-5.310,-0.183
0.684,0.481,0.540,-2.136,-2.747,-0.549
0.684,0.482,0.535,-2.319,-0.183,-0.793
0.686,0.481,0.529,-1.892,3.601,-1.099
0.703,0.476,0.523,-1.404,3.418,-1.282
0.708,0.476,0.526,-0.732,-1.831,-1.221
0.712,0.482,0.534,-0.732,-4.639,-1.282
0.712,0.484,0.541,0.244,-6.042,-1.221
0.711,0.486,0.553,0.732,-4.639,-1.038
0.709,0.486,0.555,0.122,-1.343,-0.732
0.706,0.485,0.550,-0.793,-0.610,-0.427
0.705,0.486,0.546,-1.892,-0.793,-0.183
0.706,0.488,0.536,-1.770,-1.343,-0.671
0.705,0.486,0.535,0.305,-2.075,-1.160
0.701,0.486,0.545,1.343,-2.197,-0.977
0.699,0.486,0.548,1.404,-2.136,-0.977
0.700,0.484,0.548,0.854,-2.014,-1.160
0.701,0.483,0.548,0.122,-2.258,-1.221

0.469,-1.248,1.034,91.492,-47.607,-101.501
0.616,-1.214,1.115,79.712,-12.573,-74.951
0.767,-1.197,1.192,64.453,12.207,-50.842
0.760,-1.216,1.182,21.362,60.364,10.315
0.615,-1.221,1.091,-1.892,81.970,42.664
0.491,-1.189,1.007,-46.021,122.009,95.276
0.254,-1.095,0.829,-59.998,138.428,113.953
0.178,-1.045,0.776,-63.721,159.546,139.771
0.108,-0.943,0.747,-59.448,165.588,148.560
0.110,-0.852,0.744,-53.711,181.396,159.180
0.205,-0.622,0.735,-51.147,196.106,159.546
0.291,-0.519,0.738,-41.138,229.431,153.198
0.428,-0.281,0.720,-36.133,241.333,150.452
0.481,-0.162,0.686,-25.635,254.028,152.954
0.587,-0.010,0.614,-16.724,257.751,156.067
0.607,0.083,0.599,10.986,265.564,156.616
0.683,0.336,0.592,28.870,267.944,154.663
0.749,0.467,0.581,57.861,263.794,152.222
0.808,0.617,0.529,62.378,252.930,153.625
0.788,0.634,0.488,59.204,234.192,155.762
0.762,0.646,0.452,46.021,191.345,146.057
0.720,0.746,0.457,44.128,173.889,135.681
0.706,0.822,0.492,44.434,134.705,119.751
0.661,1.002,0.555,37.903,107.605,109.558
0.654,1.038,0.556,2.625,53.528,72.876
0.672,1.016,0.488,-19.470,34.241,56.702
0.667,1.009,0.432,-46.753,25.391,51.697
0.630,1.040,0.318,-49.011,33.752,54.565
0.600,1.062,0.272,-33.447,53.833,47.546
0.585,1.040,0.234,-16.602,55.420,38.391
0.598,1.002,0.264,4.150,47.485,28.625
0.613,0.971,0.325,41.382,6.104,11.108
0.663,0.921,0.471,48.279,-23.071,2.014
0.683,0.889,0.520,32.898,-78.918,-11.169
0.714,0.834,0.542,18.005,-96.375,-13.123
0.725,0.817,0.512,-6.226,-96.558,-13.184
0.726,0.786,0.424,-10.376,-81.665,-11.658
0.721,0.771,0.397,-1.770,-35.889,-5.066
0.718,0.730,0.398,6.165,-11.780,-1.221
0.712,0.705,0.416,14.526,20.020,5.127
0.728,0.647,0.439,11.108,21.973,6.104
0.758,0.613,0.424,-8.057,1.587,4.272
0.800,0.563,0.364,-17.395,-10.620,4.028
0.811,0.546,0.339,-22.583,-18.433,4.578
0.817,0.534,0.327,-21.057,-20.935,6.897
0.812,0.524,0.331,-18.066,-18.921,8.118
0.804,0.524,0.335,-14.404,-13.184,9.216
0.807,0.519,0.334,-13.428,-9.705,8.850
0.809,0.516,0.331,-10.742,-2.502,7.629
0.815,0.502,0.335,-9.399,-0.183,6.470
0.820,0.490,0.341,-8.850,0.183,5.554
0.818,0.483,0.350,-9.888,-1.587,6.470
0.811,0.486,0.351,-12.024,-7.080,6.714
0.813,0.483,0.348,-12.512,-9.094,4.761
0.817,0.480,0.347,-12.451,-8.057,2.563
0.811,0.478,0.338,-11.780,-3.906,2.930
0.810,0.475,0.331,-11.230,1.526,3.479
0.808,0.474,0.320,-11.963,7.935,3.723
0.795,0.480,0.296,-12.451,7.080,3.113
0.790,0.482,0.290,-11.414,2.380,2.136
0.772,0.490,0.292,-9.460,0.916,2.563
0.763,0.500,0.296,-4.700,0.488,1.831
0.748,0.517,0.305,-2.563,1.160,0.244
0.752,0.520,0.312,1.038,2.197,-3.418
0.763,0.527,0.332,1.648,0.732,-4.822
0.767,0.531,0.339,1.038,-4.211,-6.897
0.781,0.533,0.343,0.610,-6.226,-8.057
0.792,0.532,0.347,0.122,-9.460,-9.277
0.811,0.535,0.352,-0.427,-10.132,-8.911
0.818,0.536,0.352,-1.526,-8.362,-7.385
0.820,0.536,0.351,-1.709,-6.348,-5.981
0.819,0.538,0.349,-1.343,-1.648,-2.808
0.820,0.542,0.344,-1.343,-0.061,-1.770
0.815,0.544,0.339,-1.404,0.977,-0.122
0.800,0.545,0.331,-1.404,0.488,0.244
0.796,0.543,0.329,-1.282,-2.747,-0.427
0.785,0.543,0.328,-0.610,-4.028,-1.038
0.787,0.536,0.330,-0.061,-3.723,-1.892
0.792,0.520,0.330,-0.549,-3.113,-1.526
0.788,0.521,0.328,-0.854,-1.831,0.183
0.786,0.522,0.328,-0.488,-1.465,-0.061
0.784,0.522,0.330,-0.122,-1.770,-0.977
0.780,0.523,0.333,0.977,-2.991,-2.747
0.783,0.519,0.345,1.343,-3.662,-3.296
0.784,0.520,0.348,0.061,-5.188,-2.869
0.770,0.527,0.346,-0.488,-5.188,-2.625
0.771,0.528,0.345,0.183,-4.761,-4.211
