aX,aY,aZ,gX,gY,gZ
0.114,-0.227,0.987,-1.221,1.099,1.770
0.105,-0.220,0.986,-1.221,2.808,2.686
0.102,-0.214,0.977,-2.808,2.563,2.869
0.100,-0.205,0.956,-3.052,1.343,2.014
0.101,-0.200,0.955,-2.625,-0.671,-0.122
0.104,-0.200,0.959,-2.258,-0.793,-0.366

-0.957,-0.358,1.321,0.244,18.677,27.527
-1.137,-0.279,1.245,-11.963,39.856,9.338
-1.193,-0.251,1.155,-20.325,46.448,-6.042
-1.232,-0.213,1.011,-31.738,40.771,-43.945
-1.203,-0.213,0.981,-41.138,16.663,-87.402
-1.055,-0.269,0.961,-46.570,5.798,-107.178
-0.922,-0.318,0.953,-50.537,0.000,-135.742
-0.535,-0.483,0.960,-39.001,28.137,-147.583
-0.156,-0.637,0.952,-31.738,49.194,-146.851
0.204,-0.649,0.779,-34.607,69.580,-155.090
0.426,-0.659,0.670,-36.926,45.166,-181.641
0.956,-0.660,0.568,-24.902,29.297,-190.674
1.435,-0.683,0.606,10.254,33.691,-197.388
1.624,-0.696,0.636,28.198,48.828,-170.898
1.900,-0.651,0.691,24.109,42.603,-147.766
1.935,-0.579,0.715,15.930,28.259,-107.422
1.919,-0.442,0.722,13.489,22.827,-88.745
1.833,-0.376,0.676,8.972,-2.563,-49.622
1.735,-0.343,0.677,13.000,-28.137,-12.512
1.456,-0.291,0.727,15.564,-34.912,6.348
1.313,-0.286,0.768,18.372,-41.626,34.485
1.101,-0.294,0.845,18.616,-43.579,41.321
1.037,-0.315,0.864,16.235,-41.748,55.725
0.870,-0.342,0.887,14.771,-39.063,66.895
0.776,-0.351,0.879,11.414,-41.321,84.229
0.576,-0.338,0.851,7.751,-43.884,90.454
0.480,-0.330,0.848,3.601,-40.405,105.713
0.287,-0.337,0.854,4.333,-36.377,110.962
0.189,-0.346,0.864,7.141,-29.480,114.014
0.036,-0.354,0.897,6.653,-28.076,115.112
-0.113,-0.384,0.908,0.671,-25.574,121.765
-0.191,-0.387,0.918,-0.244,-18.921,122.620
-0.310,-0.354,0.954,2.441,-13.977,119.263
-0.340,-0.344,0.977,4.517,-3.540,105.041
-0.402,-0.326,1.017,1.892,-1.648,95.093
-0.484,-0.289,1.042,-5.859,-10.376,72.876
-0.495,-0.279,1.044,-11.292,-20.386,56.274
-0.491,-0.271,1.063,-11.292,-21.423,52.429
-0.507,-0.250,1.093,-3.357,-11.108,51.514
-0.477,-0.210,1.141,0.183,-2.075,47.546
-0.428,-0.193,1.134,-4.639,8.667,32.349
-0.336,-0.180,1.062,-9.521,8.057,26.794
-0.313,-0.169,1.025,-10.071,5.493,20.874
-0.265,-0.156,0.991,-5.859,6.592,16.968
-0.130,-0.194,0.983,1.038,7.507,6.531
-0.068,-0.208,0.981,2.869,1.831,2.869
0.016,-0.225,0.966,3.235,1.099,2.563
0.047,-0.232,0.953,5.310,2.991,1.709
