aX,aY,aZ,gX,gY,gZ
0.486,-0.608,-1.256,-44.800,-65.979,26.245
0.393,-0.645,-0.961,-88.623,-144.653,-19.958
0.169,-0.728,-0.646,-110.535,-135.742,-27.405
0.052,-0.723,-0.582,-144.592,-67.566,-31.982
-0.129,-0.790,-0.586,-153.442,-32.532,-28.564
-0.144,-0.854,-0.606,-171.570,8.179,-6.775
-0.069,-0.873,-0.592,-182.983,11.841,4.944
0.008,-0.854,-0.547,-200.073,-3.418,18.738
0.140,-0.812,-0.407,-202.515,-24.109,22.949
0.133,-0.802,-0.332,-196.960,-78.125,27.344
0.079,-0.783,-0.179,-196.716,-95.703,28.748
0.077,-0.730,-0.097,-211.609,-103.027,31.433
0.111,-0.611,0.064,-221.436,-101.318,32.166
0.108,-0.571,0.155,-231.506,-102.661,33.508
0.074,-0.538,0.256,-253.113,-103.027,34.546
0.088,-0.399,0.505,-259.460,-90.149,31.189
0.149,-0.318,0.614,-238.098,-73.303,18.066
0.159,-0.305,0.723,-215.210,-83.252,12.512
0.109,-0.347,0.741,-189.819,-103.455,6.104
-0.011,-0.393,0.779,-191.650,-98.938,2.502
-0.022,-0.367,0.826,-212.219,-62.561,-5.310
0.097,-0.242,0.980,-224.426,-47.852,-5.981
0.169,-0.172,1.130,-224.548,-65.491,-5.981
0.039,-0.189,1.380,-200.928,-92.041,-11.597
-0.125,-0.280,1.367,-134.827,-102.539,-22.888
-0.259,-0.350,1.165,-121.887,-66.223,-24.231
-0.170,-0.239,1.141,-139.160,22.034,-25.269
-0.007,-0.041,1.283,-144.775,32.959,-26.611
-0.026,-0.038,1.340,-130.859,-1.099,-19.897
-0.066,-0.134,1.302,-116.577,-16.663,-10.620
-0.057,-0.184,1.238,-87.830,-32.349,-2.441
-0.105,-0.237,1.174,-84.351,-36.072,-5.249
-0.120,-0.224,1.223,-103.577,-19.531,-9.705
-0.103,-0.143,1.338,-108.154,-2.747,-9.155
-0.083,-0.115,1.332,-86.243,25.452,-8.789
-0.021,-0.127,1.204,-69.458,31.189,-9.583
0.008,-0.149,1.138,-48.035,17.761,-8.911
0.017,-0.201,1.050,-46.021,2.930,-5.798
0.018,-0.218,1.035,-53.772,-18.066,-0.610
0.013,-0.182,1.049,-59.937,-20.569,-1.709
0.007,-0.140,1.058,-64.148,-18.555,-5.066
-0.001,-0.044,1.092,-62.744,-11.230,-12.756
-0.007,-0.012,1.123,-57.922,-9.766,-14.587
-0.031,-0.008,1.137,-41.138,-8.789,-11.902
-0.063,-0.032,1.100,-31.372,-4.578,-10.315
-0.061,-0.045,1.082,-18.616,7.935,-8.362
-0.054,-0.071,1.050,-14.832,13.245,-6.714
-0.046,-0.089,1.031,-10.376,16.968,-3.540
