aX,aY,aZ,gX,gY,gZ
-0.648,0.814,-1.717,-138.000,55.786,5.066
-0.585,0.777,-1.697,-3.418,50.354,-11.963
-0.521,0.685,-1.418,47.485,18.860,-9.705
-0.544,0.685,-1.244,117.798,-29.297,-0.793
-0.453,0.720,-0.942,142.151,-29.785,-2.136
-0.276,0.812,-0.770,178.101,-14.648,-6.958
-0.220,0.832,-0.709,196.411,-9.888,-7.874
-0.280,0.791,-0.502,243.591,-9.399,2.136
-0.380,0.748,-0.351,278.015,22.461,18.921
-0.466,0.618,-0.054,279.846,56.702,20.752
-0.422,0.549,0.046,257.263,120.361,8.728
-0.309,0.477,0.085,246.216,136.353,0.671
-0.272,0.413,0.071,261.902,138.123,-12.451
-0.215,0.202,0.164,282.898,138.672,-17.517
-0.151,0.108,0.310,324.646,163.025,-22.949
0.043,-0.059,0.791,340.210,178.040,-24.841
0.132,-0.143,1.051,335.266,190.124,-28.381
0.215,-0.242,1.312,309.387,174.683,-26.672
0.199,-0.263,1.301,250.671,98.999,-22.827
0.122,-0.410,1.155,238.892,60.425,-25.513
0.137,-0.512,1.161,242.432,24.597,-35.828
0.213,-0.549,1.321,220.337,22.156,-31.616
0.194,-0.411,1.398,196.106,25.269,-22.522
0.130,-0.413,1.335,147.522,38.757,-17.517
0.161,-0.553,1.287,129.028,47.363,-15.442
