aX,aY,aZ,gX,gY,gZ
0.175,-1.740,-0.080,-80.078,45.654,139.343
0.100,-1.628,0.002,-74.707,-63.293,144.897
-0.130,-1.181,0.211,-84.229,-76.599,158.875
-0.238,-0.935,0.296,-98.816,-26.306,186.157
-0.316,-0.539,0.478,-100.281,14.587,190.369
-0.289,-0.378,0.581,-106.628,71.228,176.208
-0.222,-0.030,0.703,-111.206,80.078,162.231
-0.139,0.353,0.739,-114.868,85.754,120.178
-0.119,0.542,0.787,-107.483,87.036,77.454
-0.039,0.884,0.890,-107.727,86.487,64.941
-0.020,1.052,0.920,-113.098,77.942,47.302
-0.050,1.364,0.939,-107.483,75.684,35.645
-0.015,1.480,0.950,-80.627,86.365,-3.967
0.291,1.436,0.950,-64.697,87.036,-25.635
0.485,1.317,0.948,-31.982,59.326,-46.692
0.689,1.135,1.021,-15.015,36.682,-46.692
0.697,1.066,1.073,12.146,-8.362,-45.044
0.628,0.885,1.125,21.057,-24.780,-45.776
0.582,0.795,1.135,30.762,-32.288,-45.105
0.546,0.621,1.122,29.907,-24.414,-43.579
0.585,0.525,1.079,18.982,-6.287,-39.734
0.687,0.366,0.962,12.817,-0.122,-33.691
0.711,0.329,0.927,8.545,5.188,-14.893
0.705,0.324,0.896,9.705,3.906,-9.216
0.709,0.302,0.882,12.146,-4.578,-9.521
0.723,0.221,0.854,13.062,-9.583,-10.620
0.727,0.181,0.843,11.108,-10.864,-7.629
0.706,0.139,0.824,7.751,-8.057,-2.380
0.668,0.146,0.809,-0.122,0.488,12.878
0.575,0.179,0.765,-1.587,6.165,18.433
0.552,0.178,0.751,3.052,10.742,19.226
0.540,0.150,0.759,6.165,6.592,16.052
0.532,0.137,0.775,9.644,-6.287,8.118
0.512,0.123,0.810,10.864,-8.911,5.615
0.502,0.119,0.829,12.146,-4.761,5.249
0.491,0.109,0.858,11.597,-1.770,6.470
0.483,0.110,0.871,9.827,0.488,8.118
0.470,0.115,0.896,8.911,0.244,7.202
0.468,0.120,0.904,5.676,-1.404,2.441
0.479,0.138,0.895,3.784,-0.977,-0.366
0.498,0.143,0.887,1.465,2.991,-3.906
0.553,0.139,0.876,0.671,3.479,-4.578
0.573,0.137,0.870,0.122,-0.244,-4.089
0.578,0.139,0.874,0.549,-1.343,-2.930
0.576,0.139,0.879,0.244,0.549,0.122
0.568,0.150,0.880,-0.977,2.197,1.831
0.556,0.157,0.874,-4.150,3.845,4.395
0.523,0.172,0.860,-5.005,3.296,4.517
0.508,0.175,0.853,-5.371,1.221,2.014
0.499,0.172,0.838,-4.944,-0.122,0.366
0.496,0.173,0.832,-3.113,0.366,-0.122
0.512,0.161,0.825,-1.709,2.197,0.549
0.517,0.164,0.828,0.000,5.249,3.174
0.525,0.174,0.822,-0.061,5.920,3.052
0.537,0.177,0.815,2.197,3.540,0.488
0.540,0.186,0.819,4.089,1.465,-1.160
0.543,0.177,0.824,7.751,-0.793,-4.395
0.571,0.133,0.861,8.789,-2.197,-4.395
0.564,0.129,0.882,5.188,-5.432,-2.136
0.539,0.132,0.874,2.441,-3.479,-1.709
0.553,0.128,0.864,1.770,3.479,0.000
0.545,0.136,0.864,1.221,4.395,1.892
0.536,0.141,0.843,0.122,4.272,1.038
0.545,0.142,0.834,-0.793,2.197,-0.427
0.552,0.156,0.828,-0.793,0.488,-0.305
0.549,0.158,0.831,0.366,-0.671,-0.122
0.537,0.151,0.838,0.977,-0.488,0.244
0.525,0.151,0.838,1.343,1.160,1.343
0.510,0.156,0.836,1.404,2.014,1.038
0.507,0.160,0.833,2.075,1.526,-1.221
0.525,0.155,0.835,3.113,1.038,-2.563
0.539,0.150,0.843,3.967,-0.488,-4.333
0.556,0.139,0.852,3.357,-1.404,-4.517
0.561,0.136,0.853,2.258,-1.709,-3.174
0.559,0.138,0.854,2.136,-0.671,-2.197
0.560,0.137,0.855,2.136,1.709,-0.610
0.553,0.148,0.857,1.831,2.136,0.244
0.553,0.152,0.855,0.854,1.465,-0.366
0.559,0.150,0.853,0.732,-0.244,-0.793
0.556,0.151,0.853,0.793,-1.831,-0.671
0.560,0.142,0.854,0.977,-1.404,-1.099
0.564,0.133,0.856,1.099,-2.136,-0.977
0.558,0.137,0.854,0.671,-2.258,0.061
0.547,0.141,0.847,0.305,-0.061,1.892
0.542,0.145,0.846,0.305,-0.305,2.502
0.529,0.150,0.838,0.061,-1.343,1.709
0.535,0.142,0.836,0.488,-2.563,0.061
0.532,0.145,0.837,0.427,-2.014,0.244
0.535,0.139,0.839,0.671,-0.977,0.000
0.541,0.133,0.844,1.526,-0.732,-0.244
0.540,0.131,0.852,1.160,-1.404,-0.427
0.541,0.128,0.851,-0.061,-2.319,-1.221
0.538,0.131,0.847,-0.244,-1.831,-1.038
0.537,0.136,0.846,-0.488,1.099,-0.366
0.545,0.138,0.836,-0.854,1.587,-0.305
0.548,0.140,0.832,-0.488,0.671,-0.488

0.686,0.898,1.229,41.321,-13.123,-9.521
0.674,1.010,1.302,66.284,-21.118,-24.170
0.663,1.036,1.318,86.426,-20.264,-34.058
0.624,1.095,1.336,92.224,-17.761,-34.302
0.590,1.124,1.334,96.252,-11.169,-30.212
0.521,1.157,1.283,96.802,-4.883,-29.541
0.498,1.153,1.240,98.938,0.061,-39.368
0.402,1.037,1.114,97.778,-14.526,-52.002
0.304,0.890,1.020,85.632,-79.590,-83.191
0.022,0.502,0.783,79.102,-111.572,-95.215
