aX,aY,aZ,gX,gY,gZ
-0.523,-0.519,1.838,-28.015,24.902,161.926
-0.568,-0.516,1.762,-45.715,45.288,143.494
-0.501,-0.551,1.621,-61.646,45.227,133.545
-0.428,-0.557,1.377,-95.520,35.095,112.183
-0.322,-0.545,1.134,-114.624,19.043,87.280
-0.264,-0.518,1.055,-117.126,-0.366,65.674
-0.173,-0.428,0.963,-116.089,-7.690,56.702
-0.164,-0.393,0.930,-113.281,-16.663,41.626
-0.193,-0.321,0.880,-111.328,-22.522,27.649
-0.251,-0.216,0.821,-110.291,-23.865,19.409
-0.289,-0.107,0.755,-104.980,-24.231,3.967
-0.330,0.000,0.703,-94.604,-18.188,-6.104
-0.346,0.072,0.677,-81.726,-6.714,-20.508
-0.275,0.089,0.658,-80.017,-8.179,-39.551
-0.231,0.087,0.642,-81.299,-11.230,-46.082
-0.160,0.074,0.591,-79.163,-7.202,-56.335
-0.094,0.050,0.544,-68.054,4.211,-64.331
-0.033,0.027,0.507,-59.021,7.874,-70.251
0.051,0.024,0.468,-55.481,2.747,-79.346
0.115,0.038,0.430,-55.725,-6.348,-86.365
0.187,0.073,0.387,-52.002,-14.160,-94.543
0.281,0.082,0.342,-42.603,-19.104,-103.455
0.358,0.089,0.348,-29.175,-25.940,-104.492
0.397,0.083,0.396,-14.526,-26.550,-98.511
0.412,0.089,0.425,1.282,-10.864,-90.576
0.451,0.130,0.474,8.240,2.380,-86.792
0.478,0.176,0.462,14.221,25.696,-83.191
0.493,0.181,0.443,5.005,12.695,-86.975
0.532,0.153,0.437,0.000,-4.761,-89.783
0.610,0.127,0.499,4.761,-26.184,-93.384
0.664,0.111,0.556,21.545,-10.132,-86.975
0.673,0.108,0.557,29.053,17.700,-70.740
0.672,0.153,0.503,27.466,24.414,-64.514
0.674,0.188,0.477,27.710,12.817,-63.477
0.681,0.202,0.497,30.518,-1.465,-67.017
0.682,0.165,0.538,39.001,-26.611,-69.885
0.675,0.059,0.647,43.701,-31.189,-65.491
0.667,0.044,0.709,53.894,-20.935,-51.514
0.695,0.093,0.793,56.702,-10.315,-47.302
0.718,0.116,0.785,53.833,5.554,-44.189
0.765,0.070,0.696,51.331,5.554,-44.556
0.790,0.037,0.672,53.406,-10.742,-44.922
0.829,0.004,0.763,58.899,-21.057,-42.603
0.834,-0.015,0.857,70.618,-30.945,-30.579
0.865,-0.031,1.022,72.693,-25.085,-23.132
0.899,-0.026,1.045,67.078,-4.089,-13.794
0.906,0.014,0.957,60.852,0.244,-11.108
0.867,0.029,0.904,54.321,-8.301,1.160
0.777,0.010,0.932,58.289,-13.489,7.996
0.752,-0.017,1.012,65.857,-17.212,11.902
0.734,-0.022,1.185,75.623,-24.109,14.221
0.740,-0.009,1.218,72.021,-23.926,15.991
0.749,-0.017,1.178,54.321,-19.714,24.048
0.731,-0.036,1.161,44.128,-19.165,42.175
0.638,-0.077,1.178,46.631,-19.531,47.119
0.577,-0.075,1.206,52.002,-25.269,49.561
0.479,-0.059,1.301,48.340,-30.334,51.392
0.431,-0.057,1.321,31.311,-39.246,51.636
0.359,-0.076,1.317,23.376,-40.955,51.331
